ID (GT),Missing Time Points,ID (Dino),x (GT),y (GT),z (GT),x (Dino),y (Dino),z (Dino),t,t_start (GT),t_start (Dino),FI (GT),FI (Dino),Track Length (GT),Track Length (Dino),Feature 0,Feature 1,Feature 2,Distance,Multi ID (Dino),Multi Distance (Dino)
132,8,1954,303.091,22.273,0.455,304.40396,25.927183,1.7914484,8.0,0.0,2.0,1.0,4.7,29.0,16.0,11.85,0.767,-0.3643,4.106459750801351,,
141,19,1887,368.545,229.455,7.273,359.5459,226.02286,7.9999957,19.0,0.0,2.0,1.0,3.953,25.0,14.0,-8.875,0.943,-0.3184,9.6587736559782,,
149,13,2100,101.273,492.273,-0.273,97.36328,494.2643,1.0713218,13.0,0.0,2.0,1.0,2.805,18.0,22.0,6.074,2.38,0.3127,4.5889418464777965,,
150,4,134,150.182,122.182,0.0,148.09473,125.53801,1.3787421,4.0,0.0,0.0,1.0,5.07,22.0,35.0,12.164,3.201,-0.2605,4.185741147193929,,
150,5,134,149.364,122.182,0.0,147.64037,125.239426,1.4627036,5.0,0.0,0.0,1.0,4.82,22.0,35.0,12.26,1.492,0.05176,3.802401339131492,,
150,10,121,137.364,128.818,-0.182,134.17601,128.58154,2.210927,10.0,0.0,0.0,1.0,3.744,22.0,16.0,6.113,0.8643,-0.2413,3.9931557944849954,,
152,17,3950,164.091,57.364,5.455,171.36867,51.35272,4.5250983,17.0,0.0,12.0,1.0,5.11,19.0,43.0,12.32,-0.841,-0.3152,9.484971536012266,,
155,15,2203,288.545,373.545,9.727,290.6182,382.63126,7.999993,15.0,15.0,3.0,1.0,6.72,21.0,12.0,-1.999,-2.416,0.52,9.478440388885115,,
157,4,2434,139.091,264.636,9.545,132.76248,249.64381,7.999991,4.0,2.0,4.0,1.0,2.238,40.0,7.0,-6.39,1.256,0.276,16.346344520919093,,
157,6,2434,139.636,264.182,9.364,146.74117,271.23688,0.0,6.0,2.0,4.0,1.0,0.5854,40.0,7.0,-8.43,-0.2396,-0.3218,13.709094373564572,,
157,7,2746,140.636,264.182,9.545,139.40344,262.1442,6.1243544,7.0,2.0,5.0,1.0,4.234,40.0,9.0,7.277,-2.01,-0.365,4.168051021088801,,
157,28,831,127.818,265.727,7.818,116.41234,263.43237,7.9999986,28.0,2.0,0.0,1.0,1.118,40.0,38.0,-9.734,0.1685,0.1632,11.635614739363874,,
157,29,5161,126.727,265.818,8.0,118.03974,261.50446,0.0,29.0,2.0,18.0,1.0,1.217,40.0,19.0,-6.793,-0.6924,-0.1573,12.572792595091997,,
157,30,4557,126.273,265.909,8.273,132.71956,249.61635,6.3498373,30.0,2.0,15.0,1.0,3.598,40.0,29.0,9.914,-2.047,-0.369,17.626886696940296,,
158,27,5883,338.455,417.273,0.727,345.351,410.65494,2.2621176,27.0,0.0,22.0,1.0,3.492,47.0,6.0,9.0,1.661,0.1157,9.680398762934828,,
159,17,3900,290.636,5.818,6.455,282.78275,0.18444829,0.5696671,17.0,15.0,11.0,1.0,0.957,24.0,9.0,-3.512,0.618,0.5444,11.315811229229938,,
162,22,4589,30.909,267.364,8.273,39.99988,265.99924,0.0,22.0,0.0,15.0,1.0,5.1,56.0,9.0,-6.56,1.57,1.257,12.367263158516517,,
164,36,3808,75.182,412.455,9.727,75.81487,410.22226,6.0593033,36.0,0.0,11.0,1.0,5.12,37.0,64.0,13.12,-2.451,-0.5225,4.340236333160995,,
177,8,2920,241.818,96.364,5.909,240.1385,98.00514,2.886596,8.0,0.0,6.0,1.0,7.637,30.0,7.0,18.6,0.8784,-0.9585,3.827399468152761,,
184,1,1132,218.182,176.182,9.636,220.36948,176.10838,6.4555774,1.0,0.0,0.0,1.0,2.807,9.0,6.0,5.996,-2.736,0.10974,3.8607740894010942,,
184,4,1966,218.182,175.545,9.636,220.7385,175.99695,6.6438885,4.0,0.0,2.0,1.0,3.488,9.0,8.0,5.64,-2.78,-0.336,3.96139903076328,,
190,15,465,289.545,372.455,5.091,284.5408,367.3139,1.6637698,15.0,0.0,0.0,1.0,4.87,16.0,44.0,10.48,1.695,0.2448,7.951027209976849,,
203,0,1037,343.091,88.545,6.182,333.4337,93.157715,7.9999986,0.0,0.0,0.0,1.0,2.197,6.0,9.0,-5.656,0.398,0.4546,10.855676020903871,,
208,19,4664,502.818,209.545,2.0,510.55072,208.81929,7.2719946,19.0,18.0,15.0,1.0,1.745,6.0,6.0,-1.317,-1.986,0.006363,9.386987837689446,,
209,15,3904,488.273,271.273,6.273,487.1554,273.19785,3.361154,15.0,11.0,11.0,1.0,4.945,24.0,7.0,9.09,0.295,0.7607,3.665095416249904,,
214,11,604,302.182,49.636,9.364,301.2842,48.23865,5.759201,11.0,0.0,0.0,1.0,3.18,67.0,31.0,4.695,-3.082,0.1776,3.9690310773413007,,
214,48,7279,281.182,59.818,7.273,280.8058,57.6043,4.520118,48.0,0.0,30.0,1.0,4.434,67.0,36.0,10.29,-1.175,-0.2964,3.552513678499213,,
218,11,113,459.273,85.273,0.273,460.92392,81.948074,1.2544509,11.0,0.0,0.0,1.0,4.543,62.0,16.0,7.645,2.785,-0.6284,3.839780673552423,,
222,63,8784,88.909,313.545,9.727,90.33483,311.49298,6.171138,63.0,56.0,38.0,1.0,3.88,8.0,27.0,5.84,-2.078,0.1178,4.346024831077716,,
223,2,413,183.182,357.909,-0.636,186.01228,359.2715,0.9328975,2.0,0.0,0.0,1.0,2.123,4.0,12.0,3.305,1.528,0.987,3.511172239282256,,
224,0,55,78.636,32.455,-0.364,72.33023,34.82976,2.3376217,0.0,0.0,0.0,1.0,3.346,4.0,9.0,9.08,1.492,0.1613,7.259544073866543,,
225,10,2384,450.364,279.727,-0.364,449.47238,282.86166,1.1051275,10.0,0.0,3.0,1.0,3.695,46.0,10.0,10.37,2.014,-0.508,3.5748307863808337,,
225,30,1921,429.364,288.545,-0.364,429.94495,282.81152,5.0766296,30.0,0.0,2.0,1.0,3.176,46.0,35.0,3.207,-0.801,0.4795,7.925323101129486,,
225,33,1621,422.909,292.545,-0.182,419.52713,291.22925,2.0563202,33.0,0.0,1.0,1.0,5.367,46.0,42.0,13.52,1.74,-0.1625,4.26360411824645,,
225,35,1621,422.727,293.909,0.182,419.604,289.89722,1.9853879,35.0,0.0,1.0,1.0,4.48,46.0,42.0,10.72,2.594,-0.1677,5.394415231168829,,
225,38,1621,422.0,294.0,0.091,419.78268,291.32672,1.4112163,38.0,0.0,1.0,1.0,4.02,46.0,42.0,7.79,2.916,-0.6816,3.715629828116015,,
226,5,1060,369.909,61.727,2.818,359.714,66.93501,7.9999933,5.0,0.0,0.0,1.0,2.623,7.0,6.0,-5.64,-0.775,0.866,12.566401542261207,,
226,6,2918,370.455,62.0,2.909,378.88437,58.956104,7.9999976,6.0,0.0,6.0,1.0,3.23,7.0,6.0,-3.623,-2.033,-0.2053,10.307174104424638,,
228,8,2967,203.0,229.636,5.273,203.39877,225.66313,6.649096,8.0,0.0,6.0,1.0,5.273,9.0,6.0,12.01,-1.803,0.4817,4.223310757097566,,
229,34,3475,118.545,166.091,-0.455,116.08059,168.65932,0.9380051,34.0,18.0,9.0,1.0,3.564,23.0,28.0,5.54,1.756,-0.7593,3.8223091815192047,,
229,36,4539,117.545,165.455,-0.545,115.31278,168.81976,0.77557075,36.0,18.0,15.0,1.0,3.412,23.0,29.0,8.67,4.63,-0.2389,4.248331801043262,,
229,37,8250,116.909,165.0,-0.636,114.39794,168.24365,0.80387354,37.0,18.0,35.0,1.0,2.99,23.0,4.0,8.805,4.406,-0.6455,4.347404220600168,,
229,38,8250,116.727,164.545,-0.636,127.99963,167.99953,0.0,38.0,18.0,35.0,1.0,5.93,23.0,4.0,-5.99,-2.533,-0.4028,11.807220699123052,,
230,5,194,193.364,125.182,3.818,195.26419,120.828514,0.0,5.0,0.0,0.0,1.0,5.19,13.0,6.0,0.816,3.219,-0.03006,6.094315908147204,,
232,24,4793,37.091,171.909,7.455,38.52583,160.69478,7.9999967,24.0,0.0,16.0,1.0,-0.4927,47.0,9.0,-6.2,-0.005806,-0.3489,11.3187671033691,,
232,32,3193,16.273,195.455,7.818,15.308542,197.01924,4.59727,32.0,0.0,7.0,1.0,5.18,47.0,57.0,11.8,-1.034,1.11,3.708116468540861,,
232,36,3193,16.091,195.091,7.818,16.644274,195.76933,4.3746552,36.0,0.0,7.0,1.0,4.76,47.0,57.0,9.7,0.2917,0.4478,3.552867450336843,,
233,17,4927,178.364,239.364,3.0,183.67743,231.95308,7.7785916,17.0,0.0,17.0,1.0,2.164,48.0,6.0,-2.375,-0.8643,0.2566,10.29510618162292,,
247,11,442,210.0,400.455,7.545,210.01491,397.80777,4.155441,11.0,8.0,0.0,1.0,5.465,7.0,19.0,11.055,-0.5425,-0.0763,4.300832384025317,,
251,0,1266,20.636,319.818,7.545,17.999985,310.58582,7.9999933,0.0,0.0,0.0,1.0,3.9,6.0,4.0,-8.26,4.62,-0.01158,9.611906238393576,,
251,1,371,16.182,323.636,7.909,6.8914723,321.20563,0.0,1.0,0.0,0.0,1.0,2.414,6.0,20.0,-9.164,-3.35,-0.6943,12.44077506754975,,
251,2,1296,13.818,328.364,8.364,22.666637,335.66623,7.9999895,2.0,0.0,0.0,1.0,0.995,6.0,6.0,-9.24,3.703,-0.5137,11.478390278030252,,
257,18,4011,270.091,473.818,2.455,267.284,476.86163,3.2341201,18.0,0.0,12.0,1.0,4.605,21.0,9.0,11.484,-0.549,1.0625,4.213070223379162,,
257,20,4545,256.545,478.909,1.818,264.99976,479.11145,1.6694483,20.0,0.0,15.0,1.0,4.895,21.0,46.0,14.14,1.271,0.2437,8.458488060384806,,
266,14,3010,418.727,264.455,8.455,419.56406,265.4102,4.7900534,14.0,0.0,6.0,1.0,3.557,41.0,22.0,7.742,-1.024,0.1389,3.8787768773740474,,
266,25,5658,410.091,270.727,8.091,411.44412,271.95007,4.7897625,25.0,0.0,21.0,1.0,5.09,41.0,44.0,9.85,-2.02,-0.5894,3.771604829605858,,
266,39,6412,371.0,297.455,9.636,371.33102,294.4431,5.172133,39.0,0.0,25.0,1.0,4.74,41.0,22.0,10.89,-1.573,-0.1019,5.3951111614209415,,
269,6,261,339.909,208.182,0.636,343.32245,210.4878,1.2881807,6.0,0.0,0.0,1.0,3.066,11.0,8.0,5.164,1.273,-0.535,4.170574805461784,,
269,9,3182,340.909,209.364,0.364,343.77692,211.3506,1.0530035,9.0,0.0,7.0,1.0,3.951,11.0,28.0,6.754,2.66,-0.6294,3.5561595168682083,,
274,0,774,375.364,283.818,3.545,370.93106,282.01953,3.8116264,0.0,0.0,0.0,1.0,3.805,10.0,25.0,10.07,0.6333,0.2441,4.791298469274979,,
277,30,4737,287.636,64.364,-0.455,286.82352,60.118015,0.93717396,30.0,24.0,16.0,1.0,3.943,21.0,37.0,5.004,1.727,-0.04034,4.541658365126906,,
277,38,7864,273.364,76.455,-0.273,270.38657,77.90132,1.5004841,38.0,24.0,33.0,1.0,4.3,21.0,43.0,6.69,1.71,0.2632,3.7552865137366855,,
277,42,7864,272.636,74.545,-0.636,270.43103,76.73569,1.9835042,42.0,24.0,33.0,1.0,5.29,21.0,43.0,8.5,0.7686,-0.5225,4.064826888173427,,
279,3,177,243.455,145.909,1.818,248.09428,142.58678,1.8855886,3.0,0.0,0.0,1.0,5.297,14.0,5.0,13.31,2.242,-0.4243,5.706542987277826,,
282,8,720,277.091,478.727,-0.273,275.34195,477.01675,2.7968352,8.0,0.0,0.0,1.0,4.805,14.0,45.0,13.65,0.3684,-0.3606,3.9253049716116313,,
282,9,720,277.182,478.273,-0.182,276.82404,473.67645,1.6825751,9.0,0.0,0.0,1.0,5.61,14.0,45.0,13.7,2.904,-0.829,4.973233110124673,,
282,10,3529,277.545,478.909,-0.091,274.01663,479.11142,2.67606,10.0,0.0,9.0,1.0,3.781,14.0,29.0,10.484,-1.254,0.2976,4.488539824586608,,
293,12,269,110.818,219.727,8.364,111.31662,219.07718,4.8599634,12.0,0.0,0.0,1.0,4.445,40.0,17.0,7.97,-1.328,0.116,3.5984941893713787,,
293,18,1588,99.0,226.455,8.727,97.36013,225.76663,5.3239036,18.0,0.0,1.0,1.0,5.07,40.0,15.0,10.875,-1.558,-0.3625,3.83980363840301,,
293,19,1588,99.091,225.818,8.818,97.70929,225.21927,5.4729757,19.0,0.0,1.0,1.0,4.51,40.0,15.0,8.75,-1.913,-0.5396,3.668349452354629,,
293,21,5030,99.545,225.636,8.727,98.29864,225.40549,5.0563536,21.0,0.0,18.0,1.0,4.176,40.0,47.0,7.703,-0.8257,-0.318,3.883322431054748,,
293,22,5030,99.0,224.727,8.636,97.35983,225.26865,5.0003924,22.0,0.0,18.0,1.0,4.027,40.0,47.0,8.4,-1.832,0.6235,4.025069561209812,,
293,26,5030,97.455,223.636,8.818,96.86543,224.55902,5.3727074,26.0,0.0,18.0,1.0,4.91,40.0,47.0,8.71,-3.213,0.1351,3.6151901478227617,,
293,27,5030,97.455,223.818,8.909,96.83851,224.28644,5.3036413,27.0,0.0,18.0,1.0,4.73,40.0,47.0,10.266,-2.168,-0.0524,3.687561160084763,,
297,7,1702,370.909,408.636,9.091,367.27505,405.84244,3.4733047,7.0,0.0,1.0,1.0,3.57,31.0,8.0,1.602,0.1425,0.6367,7.250384166355735,,
297,10,456,363.909,424.273,8.636,364.92944,423.61902,4.7930326,10.0,0.0,0.0,1.0,4.676,31.0,12.0,9.04,-2.002,0.02551,4.029564005132916,,
297,15,2084,363.455,445.636,7.636,363.73505,445.2106,3.5947292,15.0,0.0,2.0,1.0,4.973,31.0,29.0,12.92,0.749,0.1847,4.073237390753535,,
297,16,2084,365.455,447.909,7.364,364.08093,446.26593,3.5224235,16.0,0.0,2.0,1.0,5.75,31.0,29.0,12.39,0.00641,-0.4026,4.398347120811638,,
297,28,1728,367.909,473.0,5.455,375.4294,470.95135,4.640113,28.0,0.0,1.0,1.0,4.016,31.0,24.0,7.492,-1.364,0.0967,7.836926936323253,,
298,23,5925,289.273,484.455,5.364,293.30032,482.36694,4.0442295,23.0,0.0,22.0,1.0,4.13,26.0,9.0,10.46,0.1632,0.1592,4.7245206231606165,,
307,15,1672,293.909,480.818,5.727,295.43787,477.66104,4.246265,15.0,0.0,1.0,1.0,5.74,52.0,19.0,13.4,-1.26,0.2213,3.807415929304908,,
307,24,5925,292.636,481.545,5.909,296.03424,481.2307,3.8882987,24.0,0.0,22.0,1.0,4.152,52.0,9.0,9.62,-0.5854,0.137,3.966113126402423,,
307,25,5925,292.455,481.091,5.818,296.34937,480.76685,3.91185,25.0,0.0,22.0,1.0,3.092,52.0,9.0,8.41,-1.395,-0.0793,4.347941897254414,,
307,31,6467,283.182,484.182,4.909,285.96176,478.78583,7.900272,31.0,0.0,25.0,1.0,1.128,52.0,34.0,-4.19,-2.959,-0.556,6.767083899619133,,
307,37,5920,263.364,490.545,3.909,258.99896,499.99796,0.0,37.0,0.0,22.0,1.0,-1.015,52.0,17.0,-6.715,-1.168,-0.8047,11.121704364134075,,
308,13,528,455.091,511.0,9.091,453.3003,509.2615,6.25898,13.0,11.0,0.0,1.0,5.836,6.0,16.0,9.05,0.0352,-0.3826,3.774827945800975,,
308,14,2536,455.545,510.909,9.0,452.57016,508.73114,6.203346,14.0,11.0,4.0,1.0,5.33,6.0,27.0,6.508,-0.2,-0.2827,4.627528584559604,,
309,36,3849,475.727,11.0,0.182,480.24066,13.58823,2.8221402,36.0,33.0,11.0,1.0,4.918,5.0,65.0,6.277,0.8916,-0.1876,5.83458665238217,,
309,37,3849,477.818,12.545,-0.818,479.55475,14.0306225,1.8667282,37.0,33.0,11.0,1.0,4.484,5.0,65.0,4.637,0.9062,-0.753,3.525782222838159,,
312,3,1330,507.273,379.818,9.636,503.54047,380.0076,6.9768014,3.0,0.0,0.0,1.0,3.643,4.0,5.0,4.863,-1.709,-0.7144,4.586836116010899,,
313,11,3866,270.182,95.909,1.545,263.69553,99.09996,7.8777876,11.0,0.0,11.0,1.0,2.523,20.0,15.0,-1.448,-2.42,-0.06696,9.610448354224356,,
314,3,982,43.909,44.636,3.0,41.654488,42.482548,6.3268733,3.0,0.0,0.0,1.0,2.863,6.0,24.0,5.777,-2.057,0.6616,4.559415075281136,,
318,19,152,49.727,126.818,9.727,47.337624,131.88487,5.122571,19.0,0.0,0.0,1.0,3.977,20.0,18.0,5.312,-1.519,-0.09436,7.251417494691441,,
320,3,606,52.818,43.909,0.182,48.666058,46.83443,2.2606797,3.0,0.0,0.0,1.0,4.465,6.0,13.0,9.7,0.09015,-0.0282,5.48795702893673,,
323,12,172,243.0,97.818,0.091,241.75365,96.252945,3.4139295,12.0,0.0,0.0,1.0,4.04,16.0,23.0,10.47,-0.3357,0.01843,3.8787428295125816,,
325,48,6986,228.182,47.909,9.182,226.31723,50.102203,6.3747997,48.0,0.0,28.0,1.0,5.324,50.0,22.0,10.68,-1.572,-0.375,4.02093025013231,,
327,21,352,138.182,305.636,4.818,128.29471,303.35785,7.9999986,21.0,0.0,0.0,1.0,0.2303,53.0,21.0,-6.418,-0.713,-0.2346,10.63360644640386,,
329,12,649,278.909,505.364,4.909,280.12772,496.1154,5.5024824,12.0,0.0,0.0,1.0,4.09,13.0,18.0,5.043,-1.994,0.05902,9.347411500383886,,
332,18,2382,437.364,258.727,9.545,438.85645,249.09984,0.0,18.0,18.0,3.0,1.0,4.113,5.0,19.0,-4.977,-0.3157,-0.6763,13.638791796493544,,
