z,y,x,t,intensity_raw,total_intensity,feature_0,feature_1,feature_2,norm,particle,t_0,track_length,t_end,track_id
0.85375965,257.9246,265.74994,28,7.457,782.9769,1.918,3.684,-0.423,4.176,0,0,34,35,0
0.7817738,258.9903,265.84628,29,7.906,735.1546,0.6177,5.895,0.4158,5.94,0,0,34,35,0
0.97022086,258.59186,265.61453,30,6.945,777.89856,0.3193,4.42,0.001915,4.434,0,0,34,35,0
0.69358015,261.9015,259.07443,31,7.633,709.76495,-3.787,3.947,0.683,5.51,0,0,34,35,0
0.5888287,265.06998,252.19296,32,5.684,483.16394,-2.09,3.773,0.3335,4.33,0,0,34,35,0
0.50299,268.0425,245.06775,33,4.83,391.1876,-3.652,4.15,-0.4956,5.547,0,0,34,35,0
0.2508425,272.32043,237.53262,34,5.18,336.7646,-6.402,3.572,-1.405,7.465,0,0,34,35,0
0.15771358,274.7192,232.24483,35,5.117,245.5383,-7.863,1.063,-0.514,7.95,0,0,34,35,0
1.4984351,3.984999,485.476,0,9.625,1444.2899,-3.426,1.651,-1.6875,4.16,1,0,18,17,1
1.7499645,7.326039,480.64905,1,9.83,1464.0995,0.7017,-1.428,1.336,2.078,1,0,18,17,1
2.31022,9.625568,476.20493,2,9.69,1627.5243,1.722,-0.05078,1.05,2.018,1,0,18,17,1
2.712708,11.759309,470.2747,3,8.11,1629.4885,0.4163,-0.0283,0.4207,0.5923,1,0,18,17,1
3.2510715,14.350851,465.62344,4,10.195,1661.8318,2.17,0.1188,0.7837,2.31,1,0,18,17,1
3.7401922,18.461561,461.50653,5,9.38,1688.4852,5.516,0.625,0.2102,5.555,1,0,18,17,1
3.9055655,21.225533,457.40088,6,9.64,1697.2745,-0.8794,2.822,0.23,2.965,1,0,18,17,1
4.2698245,24.805822,452.59607,7,8.75,1574.8743,2.105,1.853,0.607,2.87,1,0,18,17,1
4.150791,26.28915,452.27078,8,8.875,1748.2021,3.613,-2.084,0.8237,4.25,1,0,18,17,1
4.415152,26.914658,451.9962,9,8.32,1588.4727,3.037,0.6865,0.3423,3.133,1,0,18,17,1
4.2430067,26.595592,452.19235,10,8.26,1519.9043,1.87,-2.258,0.9023,3.066,1,0,18,17,1
4.3869085,27.155653,451.58664,11,7.926,1450.074,0.633,-1.468,-0.1509,1.605,1,0,18,17,1
4.741379,27.404678,450.9353,12,8.81,1489.8109,0.9253,-1.056,-0.767,1.6,1,0,18,17,1
1.2798098,34.112045,442.23718,13,9.2,1196.5541,5.953,-3.186,-0.981,6.824,1,0,18,17,1
1.205814,33.54845,441.87833,14,10.12,1264.4407,2.088,1.233,1.974,3.127,1,0,18,17,1
1.2888407,33.40368,442.3393,15,9.96,1135.8495,2.545,1.871,2.178,3.836,1,0,18,17,1
1.1655204,33.301247,443.36404,16,10.22,1063.0,1.34,2.451,-1.288,3.076,1,0,18,17,1
1.2189006,33.458897,443.54108,17,10.87,1206.0958,0.743,-3.584,-1.027,3.8,1,0,18,17,1
1.7827363,9.991023,22.006939,0,8.984,1492.0028,-1.02,1.546,-0.7334,1.992,2,0,15,17,2
1.7535589,8.251646,22.078825,1,9.95,1573.1682,-2.057,-1.607,1.204,2.875,2,0,15,17,2
1.7860755,8.076328,20.600382,2,11.16,1729.175,1.488,-1.294,1.694,2.6,2,0,15,17,2
1.662892,8.600363,20.343176,3,9.86,1479.0135,1.056,0.7676,-1.926,2.326,2,0,15,17,2
1.8728966,9.165518,20.135868,4,9.836,1495.0828,1.636,-0.535,0.1276,1.726,2,0,15,17,2
1.8006953,9.459889,20.404186,5,9.84,1525.1964,2.314,2.342,-1.197,3.504,2,0,15,17,2
1.7407937,9.799314,20.25291,6,10.266,1549.7228,-0.592,1.646,1.561,2.344,2,0,15,17,2
1.551863,10.034701,21.301908,7,10.09,1555.031,4.773,-2.814,-0.1133,5.543,2,0,15,17,2
1.2940935,4.6401076,21.803205,11,10.04,1415.959,-2.006,1.728,0.263,2.66,2,0,15,17,2
1.2533767,5.0485773,21.481783,12,8.664,1195.6755,-2.215,2.805,-1.044,3.723,2,0,15,17,2
1.2021374,7.8553762,16.588127,13,9.766,1289.5419,-0.796,-1.293,-1.904,2.436,2,0,15,17,2
1.2993733,10.715555,11.929058,14,9.016,1234.792,1.68,0.8315,1.61,2.473,2,0,15,17,2
1.2381063,12.947569,7.9305825,15,9.47,1183.5626,-0.9556,0.7275,1.756,2.127,2,0,15,17,2
1.0879695,16.13993,4.529369,16,8.99,1079.0597,-1.27,0.675,-1.888,2.373,2,0,15,17,2
0.865588,19.627937,1.5661507,17,11.27,890.31836,2.334,-3.555,-1.625,4.55,2,0,15,17,2
0.6639365,18.97803,198.12605,0,6.496,656.03705,-3.93,3.02,-0.002716,4.957,3,0,36,35,3
0.80218357,21.453606,192.53487,1,7.094,773.2458,-3.105,2.836,0.7383,4.27,3,0,36,35,3
0.97321093,23.49372,186.62999,2,8.29,1011.6548,-1.074,0.595,1.653,2.06,3,0,36,35,3
1.2511517,24.374767,181.14523,3,9.12,1185.282,-1.649,2.414,-1.358,3.223,3,0,36,35,3
1.5693187,25.748222,174.54729,4,9.266,1426.6444,-1.609,-1.11,-0.03406,1.955,3,0,36,35,3
1.4188495,27.09392,176.10196,5,9.06,1278.2036,1.123,2.926,-0.802,3.236,3,0,36,35,3
1.4966422,27.355959,176.20668,6,10.03,1364.2437,0.5127,-0.616,0.83,1.154,3,0,36,35,3
1.4900913,27.5296,176.70699,7,9.97,1445.137,0.773,-2.42,-0.03915,2.541,3,0,36,35,3
1.4336097,27.520376,177.49611,8,9.875,1392.9222,1.021,1.068,0.9146,1.737,3,0,36,35,3
1.5420867,27.574844,178.71895,9,10.23,1493.5951,2.977,-4.23,-0.8057,5.234,3,0,36,35,3
1.3565938,27.580462,179.06522,10,10.11,1405.5643,1.5625,2.277,1.054,2.957,3,0,36,35,3
1.3124202,26.516794,179.05453,11,9.76,1327.0847,2.977,3.06,0.88,4.36,3,0,36,35,3
1.581877,25.881773,178.47224,12,10.46,1464.9927,6.117,2.793,-1.319,6.85,3,0,36,35,3
1.3945656,26.15997,178.93257,13,9.76,1298.0254,4.78,-3.256,-0.858,5.85,3,0,36,35,3
1.4665661,26.441679,177.99268,14,9.67,1382.8009,5.887,2.703,0.781,6.523,3,0,36,35,3
1.4811242,27.350956,178.71384,15,10.18,1394.4369,1.782,1.668,1.54,2.887,3,0,36,35,3
1.6498692,27.046865,179.10028,16,9.46,1485.0337,2.475,2.113,-1.12,3.443,3,0,36,35,3
1.456169,26.88465,179.54793,17,10.17,1352.4791,1.05,-2.906,-0.801,3.191,3,0,36,35,3
1.5826833,27.343433,179.5063,18,10.93,1541.4736,0.4998,1.316,1.087,1.778,3,0,36,35,3
1.5682102,27.05167,179.32724,19,10.664,1493.2206,1.095,1.374,1.2295,2.145,3,0,36,35,3
1.6719602,26.891975,179.416,20,9.69,1452.7847,3.344,-3.11,-1.131,4.703,3,0,36,35,3
1.7428212,26.68439,179.92958,21,10.73,1587.3955,2.22,2.26,1.454,3.486,3,0,36,35,3
1.7309189,27.14545,179.99132,22,10.06,1539.3385,0.327,0.973,1.065,1.4795,3,0,36,35,3
1.8083668,26.362177,180.91154,23,9.56,1540.1838,4.918,2.332,-1.418,5.625,3,0,36,35,3
1.6780205,29.50251,173.55463,24,10.47,1486.064,-2.416,0.2844,0.995,2.629,3,0,36,35,3
1.6939548,32.103806,168.87369,25,9.766,1445.5321,1.839,-1.074,-1.29,2.49,3,0,36,35,3
1.7104902,32.087204,169.18651,26,9.64,1503.9473,0.981,-1.491,-1.087,2.09,3,0,36,35,3
1.5441109,31.919151,169.43547,27,9.38,1425.8862,-0.04425,-0.2698,1.238,1.268,3,0,36,35,3
1.6140519,32.133125,170.23045,28,9.836,1484.6736,4.42,2.139,-0.885,4.992,3,0,36,35,3
1.4488716,32.133087,170.30263,29,10.58,1428.2941,3.45,1.556,0.7144,3.852,3,0,36,35,3
1.6618874,32.56704,170.59976,30,10.15,1450.6896,3.43,2.365,0.961,4.277,3,0,36,35,3
1.6206661,31.798798,171.22276,31,9.25,1350.1105,0.907,0.9062,-1.185,1.745,3,0,36,35,3
0.8046851,29.017546,178.39842,32,8.14,813.97565,-1.438,4.105,-1.676,4.66,3,0,36,35,3
0.6725312,31.49035,173.05276,33,7.62,670.78735,-5.047,2.102,0.8164,5.527,3,0,36,35,3
0.28583193,33.803074,168.87024,34,6.258,375.46228,-6.79,1.751,0.2329,7.016,3,0,36,35,3
0.22475992,35.560482,163.94812,35,5.4,329.26202,-7.477,2.59,-0.5024,7.93,3,0,36,35,3
0.4945189,20.919292,392.79114,0,8.15,570.6219,1.222,4.656,-0.7114,4.867,4,0,53,62,4
2.1003537,22.483747,392.95245,1,10.11,2365.26,6.953,0.1428,0.4658,6.973,4,0,53,62,4
2.296211,25.95731,388.4863,2,9.03,1796.8759,4.18,0.9653,0.8184,4.367,4,0,53,62,4
1.9867858,30.114065,385.41458,3,8.59,1624.658,-0.408,0.5845,0.1365,0.7256,4,0,53,62,4
2.1563034,29.983177,385.28427,4,8.766,1779.321,-0.459,-1.582,0.6357,1.766,4,0,53,62,4
2.174516,29.92455,384.56586,5,8.5,1529.395,-0.797,1.656,0.4834,1.9,4,0,53,62,4
1.6596754,38.650646,392.54617,7,11.43,1657.2617,3.41,-1.5,0.2296,3.732,4,0,53,62,4
1.9845906,41.883675,389.79794,8,9.65,1505.5745,2.045,1.834,0.1401,2.75,4,0,53,62,4
2.1796703,45.06903,388.1986,9,9.4,1757.5049,-0.187,-2.074,0.11365,2.086,4,0,53,62,4
2.2728832,49.12835,386.9448,10,8.766,1726.4895,0.3738,1.618,0.6084,1.769,4,0,53,62,4
2.3099122,53.88115,385.97617,11,9.12,1723.8376,-0.089,0.4043,-0.6763,0.793,4,0,53,62,4
2.2002068,57.470276,385.43454,12,9.23,1587.4409,1.365,0.8564,-0.1268,1.616,4,0,53,62,4
2.2033246,60.745316,384.55542,13,9.836,1702.0793,0.3623,-1.814,0.2537,1.868,4,0,53,62,4
2.0358999,67.41089,395.1812,18,8.97,1533.0063,0.3176,1.687,0.05884,1.718,4,0,53,62,4
1.8230629,66.98536,396.06268,19,10.14,1703.3341,1.391,2.785,0.5977,3.17,4,0,53,62,4
1.7193904,66.764114,396.6073,20,10.13,1651.8303,3.893,-2.95,-0.357,4.895,4,0,53,62,4
1.4546704,68.98092,389.17282,21,9.71,1330.1792,-0.4387,2.713,0.2255,2.758,4,0,53,62,4
2.363799,70.844284,380.14838,22,11.445,3203.6887,6.477,0.4087,0.3997,6.5,4,0,53,62,4
2.2633598,70.865845,379.80182,23,11.54,3091.6372,5.535,1.43,-0.2354,5.723,4,0,53,62,4
3.24551,71.05403,378.52536,24,9.77,1886.7123,7.367,-0.6123,-0.3496,7.402,4,0,53,62,4
3.3722842,71.46274,377.535,25,10.76,1795.9446,5.77,0.1426,0.2646,5.777,4,0,53,62,4
3.431577,71.56838,376.3952,26,9.79,1614.804,5.98,0.968,0.3638,6.07,4,0,53,62,4
3.7098851,71.871704,375.16452,27,8.695,1678.5719,2.232,-1.782,-0.2734,2.87,4,0,53,62,4
3.4319274,71.21932,375.52118,28,9.78,1731.0436,3.719,-1.028,0.4849,3.889,4,0,53,62,4
3.5199294,71.71438,376.05075,29,9.4,1523.0428,4.902,-0.9297,-0.2458,4.996,4,0,53,62,4
6.5418572,61.295246,373.37347,35,10.41,1405.1685,6.086,-3.01,-0.01131,6.79,4,0,53,62,4
6.6109853,61.88571,373.1386,36,10.49,1405.4833,0.4683,-2.557,0.06866,2.6,4,0,53,62,4
6.4271164,61.295296,373.42712,37,9.53,1544.486,-2.938,-0.9614,-0.3936,3.115,4,0,53,62,4
6.3992624,61.01282,372.77875,38,8.836,1493.4366,0.2837,-2.092,0.1174,2.115,4,0,53,62,4
6.340011,61.124138,372.1165,39,9.5,1491.3926,-0.767,-1.114,-0.414,1.415,4,0,53,62,4
6.5091395,61.056175,371.4055,40,9.36,1459.8578,-0.4436,-1.93,0.299,2.002,4,0,53,62,4
6.4857583,60.60287,371.97305,41,9.18,1413.2056,-0.724,2.295,-0.6606,2.496,4,0,53,62,4
6.6324186,65.108086,367.40494,42,8.31,1297.1918,1.024,-3.383,-0.4482,3.562,4,0,53,62,4
6.803898,69.9379,363.08105,43,10.445,1252.9783,4.555,-2.541,-0.4753,5.24,4,0,53,62,4
6.94175,74.14634,359.6914,44,10.27,1068.6024,8.81,-3.646,0.355,9.55,4,0,53,62,4
7.19148,77.6437,355.3235,45,8.19,900.79504,-0.1109,-1.716,0.5933,1.818,4,0,53,62,4
7.172218,77.55553,355.2008,46,7.46,805.91003,0.2279,-3.19,0.6436,3.262,4,0,53,62,4
7.3134823,76.06688,355.53577,47,9.445,887.9623,5.152,4.535,-1.055,6.945,4,0,53,62,4
7.0510483,77.5628,356.1814,48,7.65,810.81323,1.49,2.738,-0.3684,3.139,4,0,53,62,4
7.156788,78.58144,355.58777,49,7.137,856.6111,-1.922,-3.459,1.153,4.12,4,0,53,62,4
7.1749697,77.527374,355.93988,50,8.48,932.3926,-0.98,-2.328,-0.581,2.592,4,0,53,62,4
7.088804,77.45479,355.95343,51,8.61,955.81433,0.3237,-2.379,-0.6304,2.482,4,0,53,62,4
7.1360526,77.63273,356.53802,52,8.33,916.13245,-2.143,2.953,0.2185,3.654,4,0,53,62,4
7.0043907,77.87588,356.29163,53,9.22,1014.4519,-0.5874,1.952,-0.1868,2.047,4,0,53,62,4
7.0216084,78.28198,355.85367,54,10.08,1239.5638,0.01022,-3.703,-0.781,3.785,4,0,53,62,4
6.850166,78.01176,355.66092,55,9.125,1167.6344,1.694,-2.344,-0.288,2.906,4,0,53,62,4
6.910735,77.40175,355.96884,56,9.0,1053.3834,0.010895,-1.655,0.32,1.686,4,0,53,62,4
6.941145,77.8162,355.33047,57,8.71,1080.5856,-2.61,-2.07,-0.1895,3.336,4,0,53,62,4
6.880488,78.00255,355.86963,58,8.87,1152.8807,-1.896,-2.172,0.1871,2.889,4,0,53,62,4
7.012371,78.44607,355.88007,59,10.31,1051.5745,-3.42,-2.703,-0.07587,4.36,4,0,53,62,4
7.131689,78.42407,355.65262,60,9.125,1012.6815,-5.03,3.404,-0.1935,6.08,4,0,53,62,4
7.1753583,81.33716,352.89932,61,7.953,843.0356,-2.492,-2.613,-0.255,3.62,4,0,53,62,4
7.2823405,83.78143,349.87018,62,6.375,586.593,-6.867,-3.291,-1.014,7.684,4,0,53,62,4
1.580446,41.903534,395.29828,0,9.57,1530.7799,2.348,2.291,-1.32,3.537,5,0,39,39,5
1.194368,42.369957,388.2548,1,9.88,1304.3722,1.34,2.512,1.748,3.34,5,0,39,39,5
1.1420422,42.758133,382.00192,2,8.77,1043.9468,-3.541,1.277,0.78,3.844,5,0,39,39,5
1.0720928,43.386303,376.32788,3,8.57,1080.3087,-1.008,2.1,-0.91,2.5,5,0,39,39,5
0.99006844,42.309868,372.4082,4,7.47,941.24554,-1.189,-3.62,-0.9067,3.916,5,0,39,39,5
1.0701439,42.482754,373.2149,5,9.61,1220.4773,-0.8413,4.805,-1.983,5.266,5,0,39,39,5
1.0004246,42.183125,372.5174,6,9.46,1059.9484,0.0818,-2.477,1.264,2.781,5,0,39,39,5
1.0086218,45.1406,368.79193,7,10.92,1136.2457,-0.2627,-3.393,-0.589,3.453,5,0,39,39,5
1.4173824,48.819073,365.57715,8,9.734,1294.3229,0.659,1.091,0.5903,1.404,5,0,39,39,5
1.4140524,48.27099,364.6921,9,9.44,1349.8878,1.02,-1.815,-1.649,2.656,5,0,39,39,5
1.4382647,47.45507,364.66663,10,9.94,1391.079,-0.583,0.5654,1.6045,1.799,5,0,39,39,5
1.3019768,47.615456,364.40048,11,10.445,1357.4033,1.81,0.3215,1.388,2.303,5,0,39,39,5
1.6418222,46.451916,364.8781,12,9.07,1387.5361,1.013,0.97,0.03937,1.403,5,0,39,39,5
1.5439634,47.514416,366.08734,13,10.21,1440.0913,-1.86,-1.317,0.0504,2.28,5,0,39,39,5
1.5408834,47.297302,365.75052,14,9.086,1217.7598,-2.17,1.16,-0.3945,2.492,5,0,39,39,5
1.6157286,47.933098,366.5751,15,10.17,1414.099,-1.497,0.2942,0.0785,1.527,5,0,39,39,5
1.3207374,47.377773,365.75626,16,9.414,1158.1112,-3.473,1.232,0.1178,3.688,5,0,39,39,5
1.2487248,46.7654,365.68463,17,9.79,1243.055,-3.959,-1.013,0.1089,4.09,5,0,39,39,5
1.1458617,45.990025,366.20532,18,10.29,1265.444,-5.836,1.319,-0.5356,6.008,5,0,39,39,5
1.3789246,45.406227,365.89383,19,9.66,1197.0537,-2.844,1.966,-0.185,3.46,5,0,39,39,5
1.2072085,48.546627,360.4887,20,9.41,1175.3541,0.987,-2.629,-0.6494,2.88,5,0,39,39,5
1.3247918,50.86177,354.19458,21,8.71,1054.4277,3.656,3.139,0.3982,4.836,5,0,39,39,5
1.19046,54.654373,348.20306,22,9.7,1193.3898,-3.81,2.023,0.2732,4.324,5,0,39,39,5
1.1704903,57.0105,342.4167,23,9.484,1081.503,-6.293,0.9985,-0.575,6.4,5,0,39,39,5
1.209159,58.409286,337.33246,24,10.33,1280.5387,1.138,3.078,1.153,3.479,5,0,39,39,5
1.3886411,59.25854,334.27118,25,10.125,1387.2361,-2.205,-1.136,-0.10144,2.482,5,0,39,39,5
1.3974733,59.93034,331.4285,26,9.164,1246.4253,-2.254,-1.715,-0.6816,2.912,5,0,39,39,5
1.1193852,61.420994,329.45798,27,9.73,1099.1333,0.155,2.02,1.15,2.33,5,0,39,39,5
0.89655024,63.018925,326.41043,28,8.75,813.424,-1.463,1.249,0.586,2.01,5,0,39,39,5
0.8591711,61.397633,326.30902,29,9.05,805.0115,-0.473,2.73,0.281,2.785,5,0,39,39,5
0.5100096,61.726353,319.998,31,7.973,494.26324,4.047,4.926,0.8223,6.426,5,0,39,39,5
0.3118541,61.201523,320.454,32,8.71,496.467,1.504,3.438,0.0443,3.752,5,0,39,39,5
0.33982033,61.19685,319.30087,33,7.426,445.47263,0.536,3.268,-0.47,3.346,5,0,39,39,5
0.5482694,60.53733,320.55353,34,6.613,549.00665,-0.384,3.562,0.186,3.588,5,0,39,39,5
0.627687,60.684196,320.5478,35,6.844,574.9765,2.896,4.023,0.2783,4.965,5,0,39,39,5
0.35243556,61.47508,320.30698,36,6.42,449.4164,-7.06,2.895,-0.01404,7.63,5,0,39,39,5
0.51637405,59.299435,320.54773,37,6.332,531.9817,-5.17,3.059,-0.3806,6.02,5,0,39,39,5
0.571419,58.648567,320.60535,38,6.33,576.02075,-2.596,3.072,0.5264,4.055,5,0,39,39,5
0.58275014,57.794632,320.98273,39,6.836,587.754,-2.023,4.125,-0.706,4.65,5,0,39,39,5
0.9035459,47.68979,63.219654,0,8.17,874.0322,-3.77,1.296,-1.675,4.324,6,0,21,24,6
0.9213271,47.660812,62.179874,1,7.848,792.79095,-6.754,0.2678,1.343,6.89,6,0,21,24,6
0.8656266,46.968147,61.661133,2,7.95,850.3785,-8.23,-0.2693,0.647,8.26,6,0,21,24,6
0.8227458,46.733112,61.87231,3,7.863,778.27515,-8.48,0.3767,-0.932,8.54,6,0,21,24,6
0.78281367,46.015656,61.868195,4,7.695,769.62036,-7.258,-2.27,0.852,7.652,6,0,21,24,6
0.7531878,45.223278,61.645428,5,8.17,776.3363,-5.477,5.125,-1.146,7.586,6,0,21,24,6
0.78657234,46.133625,62.1138,6,8.734,847.1107,-7.242,-1.891,0.9136,7.54,6,0,21,24,6
1.0945243,45.71064,49.225998,11,9.7,1135.0708,-4.137,1.489,0.552,4.43,6,0,21,24,6
1.1492362,46.533287,49.25509,12,9.305,1051.1779,-5.332,0.1807,-1.129,5.453,6,0,21,24,6
0.92734015,46.584682,48.471336,13,8.984,988.1556,-6.6,-0.79,-1.099,6.742,6,0,21,24,6
0.88888943,44.829926,48.088886,14,7.89,796.9455,-2.05,0.8174,1.341,2.582,6,0,21,24,6
0.87492514,44.209602,47.58881,15,7.67,759.3698,-4.07,0.6787,1.265,4.312,6,0,21,24,6
0.8207514,43.57826,47.491497,16,7.223,780.02344,-4.29,1.668,-1.333,4.79,6,0,21,24,6
0.73745614,43.411404,47.039314,17,7.953,819.3726,-3.941,-2.375,-0.7417,4.66,6,0,21,24,6
0.85937506,43.74465,47.18118,18,8.17,817.0843,-3.566,0.295,0.5605,3.621,6,0,21,24,6
0.69660026,43.207146,47.884266,19,7.555,687.5167,-2.564,2.025,1.109,3.451,6,0,21,24,6
0.6853544,42.897274,47.301453,20,7.01,652.23694,-3.521,-3.053,-0.7905,4.727,6,0,21,24,6
0.74152446,42.794064,46.56479,21,7.79,732.087,-4.734,1.419,0.5024,4.97,6,0,21,24,6
0.8965321,43.458084,45.857376,22,7.926,784.48364,-6.996,2.506,0.514,7.45,6,0,21,24,6
0.8370122,44.107304,47.235855,23,8.48,855.997,-5.348,1.267,-1.11,5.605,6,0,21,24,6
1.030895,44.648766,47.543358,24,8.65,968.43396,-1.394,0.984,0.7593,1.867,6,0,21,24,6
1.4619714,65.956825,289.74792,0,10.11,1395.504,3.486,2.4,-1.601,4.527,7,0,22,21,7
1.5895727,65.46196,290.42294,1,9.75,1550.3641,5.914,0.8105,1.5205,6.16,7,0,22,21,7
1.5503817,65.042885,291.06705,2,9.555,1470.8931,2.547,1.313,1.114,3.074,7,0,22,21,7
1.389235,64.6816,290.54153,3,11.555,1467.7395,7.09,2.447,-1.495,7.652,7,0,22,21,7
2.2284596,65.20994,290.49176,4,11.02,2546.7905,9.77,-2.451,-0.0448,10.08,7,0,22,21,7
1.5637895,65.007126,291.56375,5,10.26,1569.6412,5.36,3.684,-0.5635,6.527,7,0,22,21,7
1.403295,64.84466,291.82715,6,10.68,1537.3867,4.52,-0.705,0.9634,4.67,7,0,22,21,7
1.5543097,64.736755,290.75635,7,10.24,1495.7001,4.027,-3.188,-0.4407,5.152,7,0,22,21,7
1.5334535,67.827675,283.96838,8,9.65,1523.8789,1.248,1.484,0.9077,2.14,7,0,22,21,7
1.4748327,70.69309,277.30377,9,10.195,1518.5742,-3.113,-1.967,-0.04907,3.684,7,0,22,21,7
1.5912718,72.77907,270.91986,10,10.164,1544.5059,0.1462,0.8438,0.4924,0.988,7,0,22,21,7
1.5801461,75.10879,264.1629,11,10.3,1555.105,3.504,1.48,0.2084,3.81,7,0,22,21,7
1.5786291,76.43741,256.50757,12,10.54,1475.7241,1.932,1.805,-1.133,2.877,7,0,22,21,7
1.5419121,75.835846,257.52216,13,9.805,1353.4088,1.038,-2.018,-0.5215,2.328,7,0,22,21,7
1.4805771,75.263504,257.31754,14,10.45,1347.975,1.184,2.637,0.4326,2.922,7,0,22,21,7
1.4006858,75.38893,256.9426,15,10.375,1463.1516,0.563,1.595,0.883,1.907,7,0,22,21,7
1.4510962,75.143585,256.30527,16,9.47,1505.0806,2.787,1.698,-1.101,3.445,7,0,22,21,7
1.5575844,76.21603,256.99255,17,8.73,1265.354,1.268,-1.853,-0.7065,2.354,7,0,22,21,7
1.6141329,80.92926,251.63261,18,10.06,1508.893,0.4365,0.895,0.9727,1.392,7,0,22,21,7
1.6081812,80.428535,251.56189,19,10.03,1474.2539,0.1389,0.93,0.8843,1.291,7,0,22,21,7
1.7341132,79.8321,250.9984,20,9.39,1596.8947,3.686,-1.518,-1.725,4.344,7,0,22,21,7
1.6678615,79.965195,251.10501,21,9.08,1479.5895,1.973,0.3318,1.343,2.41,7,0,22,21,7
1.5730827,68.63071,498.94955,0,9.805,1431.9773,2.512,2.428,-2.049,4.05,8,0,95,99,8
1.3942405,69.617905,492.96445,1,10.47,1402.8418,-3.219,0.165,1.4375,3.53,8,0,95,99,8
1.1306633,69.592735,487.51132,2,10.13,1114.8737,-4.766,0.3635,1.241,4.938,8,0,95,99,8
1.0461435,69.55031,482.99625,3,8.69,972.68634,-3.365,3.004,-1.023,4.625,8,0,95,99,8
1.0148884,68.880806,479.5108,4,8.55,914.49554,-4.09,-2.809,-0.9614,5.055,8,0,95,99,8
0.8774579,69.08321,474.9455,5,8.445,920.24036,0.6,5.49,-1.625,5.754,8,0,95,99,8
0.833747,70.58526,475.52994,6,9.05,967.7303,-2.736,-0.4182,0.7085,2.857,8,0,95,99,8
0.7636568,70.19872,475.84744,7,9.26,962.4852,-2.861,-2.977,0.375,4.145,8,0,95,99,8
0.8134905,70.885475,475.83514,8,9.586,939.5368,-2.508,1.144,1.324,3.059,8,0,95,99,8
4.328944,75.66881,471.53397,10,9.766,1894.3959,1.765,-2.787,0.5596,3.346,8,0,95,99,8
4.365177,76.14765,470.9468,11,8.48,1610.7537,-1.198,-2.262,-0.0983,2.562,8,0,95,99,8
